Name,Nickname,Born Year,Age,From,Height (m),Weight (kg),Weight Class,Style,Stance,Tradition (Kun Krou),Gym,Trainer(s),Wins (Career),Losses (Career),Draws (Career),TKOs (Career),+W (Log),+L (Log),+D (Log),+TKO (Log),Total Wins,Total Losses,Total Draws,Total TKOs,Total Fights,Win %,TKO Win %,Last Updated,Profile,Helper · Win % (filtered),Helper · TKO % (filtered),Helper · Fights,Helper · Wins,Helper · TKOs,Helper · Losses
Ouch Thearith,Chor Chork Khmao (the Black Wolf),1996,30,Phnom Penh,1.65,57.0,Featherweight (≤57kg),Kun Khmer,Orthodox,,Kuchsa Sar Mean Rithi (MoI),Thy Narith,90,14,6,47,-,-,-,-,90,14,6,47,110,81.8%,52.2%,2026-03-28,Profile,81.8%,52.2%,110,90,47,14
Nang Sav,,2004,22,Siem Reap,1.70,57.0,Featherweight (≤57kg),Kun Khmer,Southpaw,Entri Samdaeng Rithi (Eagle showing off its Might),Noreay Daek Chah Kun Khmer,Long Sovandoeun,85,21,2,23,-,-,-,-,85,21,2,23,108,78.7%,27.1%,2026-03-28,Profile,78.7%,27.1%,108,85,23,21
Morn Sameth,Khla Chas Kampoul Labech (The Tricky Old Tiger),1990,36,Phnom Penh,1.65,60.0,Lightweight (≤60kg),Kun Khmer,Orthodox,Preah Lak Poit Seima (Lakshmana drawing protective circle),KKIF,Svay Sokhonn,236,54,8,57,-,-,-,-,236,54,8,57,298,79.2%,24.2%,2026-03-15,Profile,79.2%,24.2%,298,236,57,54
Morn Prum Manh,,1999,27,Phnom Penh,1.69,65.0,Welterweight (≤67kg),Kun Khmer,Orthodox,Preah Lak Poit Seima (Lakshmana drawing protective circle),KKIF,,64,20,6,31,-,-,-,-,64,20,6,31,90,71.1%,48.4%,2026-03-15,Profile,71.1%,48.4%,90,64,31,20
Moeun Sokhuch,Runtah Chaoeng Dang Tonle Sab (the thunderous kick of Tonle Sab),1997,29,Kampong Cham,1.70,65.0,Welterweight (≤67kg),Kun Khmer,Orthodox,Rumleuk Kun Krou (Honoring the Master),Mesor Thngok Svay Rieng,Vong Khmer,111,23,5,45,-,-,-,-,111,23,5,45,139,79.9%,40.5%,2026-03-22,Profile,79.9%,40.5%,139,111,45,23
Meas Bunthen,,2004,22,Banteay Mean Chey,1.70,60.0,Lightweight (≤60kg),Kun Khmer,Southpaw,Preah Ream Thlaeng Sor (Lord Rama releasing arrows),Monorum Phnom Touch,Sam Savath,69,7,2,31,-,-,-,-,69,7,2,31,78,88.5%,44.9%,2026-03-20,Profile,88.5%,44.9%,78,69,31,7
Makara Kun Khmer,,1995,31,Kampong Thom,1.68,69.0,Light Middle (≤71kg),Kun Khmer,Orthodox,Neak Leng Teuk (Naga Dancing in Water),Kun Khmer Daun Ta,Khim Socheat,80,39,2,23,-,-,-,-,80,39,2,23,121,66.1%,28.8%,2025-05-25,Profile,66.1%,28.7%,121,80,23,39
Maeun Mekhea,Nak Snorng Trakol (the Successor),2001,25,Koh Kong,1.70,63.5,Light Welter (≤63.5kg),"Kun Khmer, Kick Boxing",Orthodox,Entri Samdaeng Rithi (Eagle showing off its Might),Eh Phouthong Kun Khmer,Eh Phouthong,124,12,6,90,-,-,-,-,124,12,6,90,142,87.3%,72.6%,2026-04-16,Profile,87.3%,72.6%,142,124,90,12
Lorn Panha,All-in Warrior,2000,26,Prey Veng,1.75,65.0,Welterweight (≤67kg),"Kun Khmer, Kick Boxing",Orthodox,Krud Samdaeng Rithi (Garuda showing off its Might),RCAF Boxing Gym,Thun Sophea,121,16,5,68,-,-,-,-,121,16,5,68,142,85.2%,56.2%,2026-03-08,Profile,85.2%,56.2%,142,121,68,16
Lor Samnang,Khla Kamnach (The Fierce Tiger),1982,44,Kandal,1.66,57.0,Featherweight (≤57kg),Kun Khmer,Orthodox,,KKIF,"Vaen Sophal, Troeung Sos Say, Svay Sokhonn",195,7,2,61,-,-,-,-,195,7,2,61,204,95.6%,31.3%,2026-03-29,Profile,95.6%,31.3%,204,195,61,7
